algorithm-1,algorithm-2,algorithm-3,algorithm-4,T1(n),T2(n),T3(n), T4(n)
2025108,645659,1136735,318394,100000000,10000000,2302586,1000000
2955863,473143,775382,122702,337500000,22500000,4062076,1500000
6498757,792736,1064267,189206,800000000,40000000,5991465,2000000
3542050,1215301,1373227,271819,1562500000,62500000,8047190,2500000
1405663,197295,1620227,287380,2700000000,90000000,10203593,3000000
2364232,250110,1952751,62495,4287500000,122500000,12443719,3500000
3289746,311788,4536583,65162,6400000000,160000000,14755518,4000000
3630516,382783,6158604,67839,9112500000,202500000,17129982,4500000
6520293,458874,385536,70634,12500000000,250000000,19560116,5000000
6130984,543980,384547,73208,16637500000,302500000,22040333,5500000
8101254,638203,410248,75996,21600000000,360000000,24566068,6000000
9996857,739019,441826,78296,27462500000,422500000,27133518,6500000
10645923,852275,474815,81309,34300000000,490000000,29739467,7000000
11886817,1180402,522783,84644,42187500000,562500000,32381161,7500000
13782451,1230083,541814,90477,51200000000,640000000,35056214,8000000
16829725,1436263,579146,89406,61412500000,722500000,37762536,8500000
19141420,1387677,645194,92497,72900000000,810000000,40498288,9000000
22092948,1570935,674386,97013,85737500000,902500000,43261831,9500000
26030475,1886307,856466,98487,100000000000,1000000000,46051702,10000000
