algorithm-1,algorithm-2,algorithm-3,algorithm-4,T1(n),T2(n),T3(n), T4(n)
2094216,627707,785754,304808,100000000,10000000,2302586,1000000
3504055,472642,412101,121948,337500000,22500000,4062076,1500000
670940,787318,559531,147824,800000000,40000000,5991465,2000000
1302646,1219096,722980,164500,1562500000,62500000,8047190,2500000
2475119,200683,885293,190000,2700000000,90000000,10203593,3000000
2802645,254865,1029784,203033,4287500000,122500000,12443719,3500000
3695038,313383,1267114,230825,6400000000,160000000,14755518,4000000
4663792,398300,1952388,169691,9112500000,202500000,17129982,4500000
7258478,461713,1574930,73029,12500000000,250000000,19560116,5000000
10390134,545171,1747952,74999,16637500000,302500000,22040333,5500000
13213942,638740,1847516,79499,21600000000,360000000,24566068,6000000
12580252,740574,444183,84294,27462500000,422500000,27133518,6500000
16291436,852025,474658,97595,34300000000,490000000,29739467,7000000
15548234,968259,503675,87718,42187500000,562500000,32381161,7500000
18519303,1095584,534390,89984,51200000000,640000000,35056214,8000000
22454811,1229199,559696,92490,61412500000,722500000,37762536,8500000
26926338,1381758,633937,95381,72900000000,810000000,40498288,9000000
32020470,1524615,628661,99354,85737500000,902500000,43261831,9500000
37452646,1683375,664831,100890,100000000000,1000000000,46051702,10000000
