algorithm-1,algorithm-2,algorithm-3,algorithm-4,T1(n),T2(n),T3(n), T4(n)
2029784,716766,795328,308894,100000000,10000000,2302586,1000000
3638043,473240,414970,121992,337500000,22500000,4062076,1500000
1150655,782656,574169,147717,800000000,40000000,5991465,2000000
1093184,1296449,717572,163290,1562500000,62500000,8047190,2500000
1927332,195638,937274,182350,2700000000,90000000,10203593,3000000
2277848,248693,1034435,206272,4287500000,122500000,12443719,3500000
3999352,310036,1230395,233459,6400000000,160000000,14755518,4000000
5787475,379327,2296285,182648,9112500000,202500000,17129982,4500000
5624400,456820,1634773,70180,12500000000,250000000,19560116,5000000
7847288,544300,1718239,74665,16637500000,302500000,22040333,5500000
11458268,636069,1871089,77158,21600000000,360000000,24566068,6000000
12158550,743847,441405,79390,27462500000,422500000,27133518,6500000
14533867,848269,481890,81927,34300000000,490000000,29739467,7000000
15510847,965526,515014,85406,42187500000,562500000,32381161,7500000
18862467,1092517,535441,90464,51200000000,640000000,35056214,8000000
22763997,1227076,563258,91415,61412500000,722500000,37762536,8500000
27075659,1367342,596865,93515,72900000000,810000000,40498288,9000000
32150603,1523228,628368,96398,85737500000,902500000,43261831,9500000
37653302,1676323,659517,98951,100000000000,1000000000,46051702,10000000
