2/26/2019	11:21 AM
Base current (µA): 15.0
Collector Voltage (V),Collector Current (A)
0.00539101	-0.00000626
0.05171979	0.00006192
0.09929910	0.00054932
0.14710915	0.00199109
0.19620996	0.00242899
0.24731400	0.00245724
0.29737894	0.00245900
0.34399961	0.00248272
0.40044657	0.00237611
0.44143312	0.00240844
0.49517564	0.00245280
0.54680875	0.00241816
0.59810976	0.00244468
0.63707861	0.00247163
0.69079541	0.00248615
0.74498559	0.00242675
0.79346954	0.00249658
0.84728676	0.00240500
0.89691345	0.00242690
0.94871039	0.00243050

Base current (µA): 30.0
Collector Voltage (V),Collector Current (A)
0.00539101	-0.00000266
0.05171979	0.00012203
0.09929910	0.00079240
0.14710915	0.00274030
0.19620996	0.00471923
0.24731400	0.00492977
0.29737894	0.00496470
0.34399961	0.00481425
0.40044657	0.00486525
0.44143312	0.00492868
0.49517564	0.00500100
0.54680875	0.00494778
0.59810976	0.00499999
0.63707861	0.00502402
0.69079541	0.00492100
0.74498559	0.00493278
0.79346954	0.00496427
0.84728676	0.00491548
0.89691345	0.00493299
0.94871039	0.00495841

Base current (µA): 45.0
Collector Voltage (V),Collector Current (A)
0.00539101	0.00000034
0.05171979	0.00017772
0.09929910	0.00093273
0.14710915	0.00304599
0.19620996	0.00586847
0.24731400	0.00703334
0.29737894	0.00727003
0.34399961	0.00737694
0.40044657	0.00724201
0.44143312	0.00733932
0.49517564	0.00743781
0.54680875	0.00736672
0.59810976	0.00743279
0.63707861	0.00747738
0.69079541	0.00737945
0.74498559	0.00739464
0.79346954	0.00744913
0.84728676	0.00735396
0.89691345	0.00737084
0.94871039	0.00742364

Base current (µA): 60.0
Collector Voltage (V),Collector Current (A)
0.00539101	0.00000582
0.05171979	0.00022282
0.09929910	0.00105701
0.14710915	0.00323952
0.19620996	0.00632040
0.24731400	0.00838611
0.29737894	0.00904959
0.34399961	0.00927140
0.40044657	0.00944525
0.44143312	0.00943386
0.49517564	0.00960649
0.54680875	0.00954094
0.59810976	0.00964808
0.63707861	0.00971114
0.69079541	0.00961189
0.74498559	0.00965248
0.79346954	0.00971332
0.84728676	0.00991020
0.89691345	0.00991987
0.94871039	0.00975381

Base current (µA): 75.0
Collector Voltage (V),Collector Current (A)
0.00539101	0.00001058
0.05171979	0.00026508
0.09929910	0.00114670
0.14710915	0.00337277
0.19620996	0.00660630
0.24731400	0.00931648
0.29737894	0.01041563
0.34399961	0.01073960
0.40044657	0.01096381
0.44143312	0.01123094
0.49517564	0.01132115
0.54680875	0.01156186
0.59810976	0.01177681
0.63707861	0.01166131
0.69079541	0.01185793
0.74498559	0.01197880
0.79346954	0.01208659
0.84728676	0.01205084
0.89691345	0.01207586
0.94871039	0.01218719
