3/9/2021	11:07 AM
Voltage (V),Current (mA)
0.495	0.086
0.513	0.086
0.537	0.085
0.555	0.086
0.578	0.086
0.596	0.085
0.619	0.086
0.637	0.086
0.654	0.086
0.677	0.086
0.695	0.086
0.718	0.087
0.736	0.087
0.758	0.087
0.776	0.087
0.794	0.088
0.817	0.090
0.835	0.092
0.857	0.097
0.875	0.101
0.898	0.110
0.915	0.122
0.937	0.143
0.953	0.167
0.969	0.200
0.989	0.264
1.003	0.331
1.020	0.445
1.050	0.797
1.062	1.026
1.085	1.713
1.098	2.263
1.121	3.662
1.138	5.162
1.157	7.382
1.179	10.483
1.196	13.562
1.217	17.727
1.235	21.926
1.255	27.016
1.274	32.694
1.294	38.917
