Vin [volts] - Plot 0	Vout [volts] - Plot 0
0	5.00889
0.172414	5.00954
0.344828	5.00825
0.517241	5.00857
0.689655	5.00535
0.862069	4.98347
1.03448	4.93037
1.2069	4.83672
1.37931	4.6932
1.55172	4.47984
1.72414	4.1516
1.89655	3.50123
2.06897	0.73757
2.24138	0.465324
2.41379	0.333706
2.58621	0.246498
2.75862	0.18278
2.93103	0.133544
3.10345	0.0962153
3.27586	0.0656439
3.44828	0.0421522
3.62069	0.0254185
3.7931	0.0128681
3.96552	0.00514483
4.13793	0.000317775
4.31034	0.000317775
4.48276	-0.000325832
4.65517	0.000317775
4.82759	-4.03E-06
5	-4.03E-06
